////--------------------------------	CLO	CLO5	CLO4	CLO3	CLO2	CLO1	CLO0
32'b0???????????????????????????????	0	0	0	0	0	0	0
32'b10??????????????????????????????	1	0	0	0	0	0	1
32'b110?????????????????????????????	2	0	0	0	0	1	0
32'b1110????????????????????????????	3	0	0	0	0	1	1
32'b11110???????????????????????????	4	0	0	0	1	0	0
32'b111110??????????????????????????	5	0	0	0	1	0	1
32'b1111110?????????????????????????	6	0	0	0	1	1	0
32'b11111110????????????????????????	7	0	0	0	1	1	1
32'b111111110???????????????????????	8	0	0	1	0	0	0
32'b1111111110??????????????????????	9	0	0	1	0	0	1
32'b11111111110?????????????????????	10	0	0	1	0	1	0
32'b111111111110????????????????????	11	0	0	1	0	1	1
32'b1111111111110???????????????????	12	0	0	1	1	0	0
32'b11111111111110??????????????????	13	0	0	1	1	0	1
32'b111111111111110?????????????????	14	0	0	1	1	1	0
32'b1111111111111110????????????????	15	0	0	1	1	1	1
32'b11111111111111110???????????????	16	0	1	0	0	0	0
32'b111111111111111110??????????????	17	0	1	0	0	0	1
32'b1111111111111111110?????????????	18	0	1	0	0	1	0
32'b11111111111111111110????????????	19	0	1	0	0	1	1
32'b111111111111111111110???????????	20	0	1	0	1	0	0
32'b1111111111111111111110??????????	21	0	1	0	1	0	1
32'b11111111111111111111110?????????	22	0	1	0	1	1	0
32'b111111111111111111111110????????	23	0	1	0	1	1	1
32'b1111111111111111111111110???????	24	0	1	1	0	0	0
32'b11111111111111111111111110??????	25	0	1	1	0	0	1
32'b111111111111111111111111110?????	26	0	1	1	0	1	0
32'b1111111111111111111111111110????	27	0	1	1	0	1	1
32'b11111111111111111111111111110???	28	0	1	1	1	0	0
32'b111111111111111111111111111110??	29	0	1	1	1	0	1
32'b1111111111111111111111111111110?	30	0	1	1	1	1	0
32'b11111111111111111111111111111110	31	0	1	1	1	1	1
32'b11111111111111111111111111111111	32	1	0	0	0	0	0
